Age,Photos,Location
57,7,AZ
42,531,OR
42,1396,NV
55,394,NV
30,916,CA
25,241,CA
28,138,CA
32,167,NV
29,922,NV
25,231,OR
20,365,OR
25,111,CA
25,499,AZ
24,402,OR
21,992,NV
23,710,NV
23,385,AZ
30,538,OR
23,635,OR
24,241,NV
24,795,CA
21,450,OR
27,41,AZ
32,185,OR
30,495,CA
29,156,AZ
18,2104,NV
23,585,AZ
29,672,CA
24,638,CA
26,393,OR
27,137,AZ
21,508,AZ
28,156,OR
31,362,CA
23,844,CA
24,4688,AZ
19,536,AZ
32,1603,CA
27,914,OR
23,16,OR
25,1521,CA
20,178,NV
30,1226,CA
22,32,CA
22,1486,CA
26,1,NV
24,65,CA
20,317,AZ
36,41,AZ
26,312,AZ
21,37,OR
26,23,CA
25,104,CA
23,76,OR
25,318,AZ
34,52,OR
20,171,CA
24,41,CA
24,26,CA
24,1,AZ
22,452,AZ
27,161,CA
23,5399,OR
22,2613,AZ
23,3372,OR
27,518,CA
24,445,OR
21,43,AZ
23,2075,OR
22,5585,CA
25,1849,OR
26,454,NV
25,353,NV
31,459,AZ
23,433,NV
24,60,AZ
27,660,CA
24,3007,CA
25,984,AZ
25,3837,CA
27,639,OR
29,298,CA
38,257,OR
21,704,CA
26,426,CA
27,589,CA
33,142,OR
23,473,CA
20,149,AZ
23,382,NV
22,290,OR
24,340,OR
18,284,NV
31,392,CA
22,562,CA
25,463,CA
26,254,CA
23,367,NV
23,1094,CA
20,197,CA
18,442,OR
23,181,AZ
20,463,CA
24,393,NV
24,132,CA
18,245,CA
15,90,CA
22,52,OR
27,95,CA
52,29,OR
29,13,CA
13,167,AZ
19,732,AZ
21,239,OR
28,832,CA
25,592,AZ
20,472,AZ
20,934,AZ
27,901,OR
16,29,AZ
23,105,CA
26,39,AZ
33,207,OR
38,458,OR
24,305,AZ
21,23,OR
21,42,CA
25,12,CA
25,17,CA
20,75,CA
22,42,OR
22,64,NV
26,87,OR
21,134,NV
21,212,AZ
20,134,NV
21,20,OR
20,154,OR
20,67,CA
23,109,CA
22,72,OR
23,15,OR
21,39,AZ
21,62,CA
22,77,CA
28,78,CA
25,4112,CA
46,428,OR
23,281,AZ
29,412,CA
22,654,CA
21,2294,CA
18,831,OR
18,271,OR
29,1674,AZ
24,118,CA
20,349,AZ
22,2321,CA
23,83,CA
21,612,CA
21,1334,AZ
20,390,CA
25,9022,AZ
22,158,CA
20,1192,CA
26,507,CA
21,162,OR
23,385,AZ
24,70,NV
24,944,NV
21,233,CA
24,576,OR
22,2011,CA
20,218,CA
24,845,CA
21,1374,CA
23,1200,CA
20,209,CA
21,1035,OR
55,215,OR
25,1688,AZ
39,106,CA
17,164,OR
21,312,NV
21,720,CA
25,659,OR
31,393,AZ
18,128,AZ
27,310,CA
38,135,CA
27,212,AZ
20,140,NV
17,41,AZ
35,86,AZ
37,419,OR
20,330,NV
24,130,NV
24,212,CA
20,96,CA
16,36,NV
19,12,CA
36,201,CA
25,165,CA
29,124,OR
24,315,AZ
25,125,NV
46,20,OR
22,127,OR
18,229,OR
20,458,CA
18,308,CA
27,47,CA
22,40,AZ
37,53,OR
23,8,AZ
40,3,AZ
36,100,CA
19,205,NV
35,34,CA
22,537,CA
25,31,NV
23,319,OR
33,88,AZ
18,369,AZ
26,157,NV
39,95,AZ
39,285,CA
20,50,OR
20,1394,AZ
21,93,OR
22,45,NV
21,348,CA
19,46,AZ
20,24,AZ
21,245,CA
21,63,NV
20,757,OR
46,24,AZ
19,134,CA
20,226,NV
20,1,CA
20,48,CA
15,44,NV
22,104,AZ
23,515,NV
21,200,CA
20,75,OR
46,283,NV
20,161,OR
22,197,OR
23,1788,NV
24,305,AZ
20,1222,CA
19,52,AZ
22,136,OR
22,852,OR
25,1395,OR
29,289,AZ
52,48,OR
17,27,AZ
20,2276,OR
22,452,AZ
22,789,NV
23,67,OR
24,621,CA
25,15,OR
21,267,AZ
22,98,AZ
20,1784,AZ
34,17,OR
18,197,OR
16,289,CA
17,324,CA
18,67,CA
22,54,CA
22,604,OR
17,266,AZ
21,874,AZ
18,1067,CA
20,456,CA
20,249,AZ
17,42,NV
22,86,NV
18,47,NV
26,910,CA
35,845,CA
27,105,CA
21,164,CA
18,41,NV
17,48,CA
26,201,CA
21,88,OR
24,120,CA
19,153,CA
22,133,CA
20,200,CA
25,170,OR
15,400,OR
17,250,NV
21,425,CA
