Price,Weight
923,0.45
1034,0.45
1071,0.45
1313,0.46
1028,0.38
1373,0.47
714,0.31
971,0.41
818,0.37
982,0.44
1021,0.42
1144,0.45
1094,0.45
1011,0.43
1351,0.46
1450,0.47
1022,0.46
1181,0.46
862,0.41
1009,0.4
1072,0.41
848,0.37
1435,0.48
894,0.36
1139,0.48
1071,0.4
823,0.36
1126,0.43
1126,0.43
908,0.34
1097,0.41
892,0.31
1301,0.42
1220,0.39
902,0.39
913,0.37
1277,0.48
790,0.31
831,0.36
1049,0.45
1040,0.4
864,0.36
1058,0.41
1068,0.39
1041,0.39
1504,0.48
1075,0.42
1181,0.45
1389,0.46
970,0.37
1143,0.38
1292,0.45
1172,0.42
914,0.36
1609,0.47
1408,0.41
1067,0.32
1159,0.36
1001,0.42
809,0.36
815,0.33
895,0.34
858,0.36
901,0.33
1527,0.49
914,0.36
955,0.34
1080,0.38
1080,0.38
1260,0.38
1430,0.45
1116,0.39
1387,0.49
1325,0.49
978,0.36
1091,0.37
1091,0.37
1166,0.41
1019,0.31
1381,0.44
1359,0.38
1243,0.37
1071,0.32
1117,0.34
1476,0.41
1163,0.36
1276,0.5
1365,0.5
1347,0.5
1313,0.5
1378,0.5
1604,0.5
1294,0.5
